,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Carlton,Round 1,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-3.31,38.53,25.51,47.97
Port Adelaide,Round 2,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,5.04,35.46,3.17,39.43
St Kilda,Round 3,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,1.7,36.63,8.4,41.43
Brisbane Lions,Round 4,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.98,34.82,-13.5,33.06
Fremantle,Round 5,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,5.16,35.42,9.89,42.0
Gold Coast SUNS,Round 6,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.44,36.72,3.45,39.54
Melbourne,Round 7,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.54,40.29,10.7,42.31
Hawthorn,Round 8,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.75,33.94,17.06,44.74
West Coast Eagles,Round 9,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.24,37.72,37.0,52.36
North Melbourne,Round 10,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.86,40.43,22.53,46.83
Essendon,Round 11,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-3.82,38.73,25.48,47.96
GWS GIANTS,Round 12,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.07,37.65,21.77,46.54
Sydney Swans,Round 13,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-0.5,37.44,6.15,40.57
Western Bulldogs,Round 15,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.57,35.28,8.16,41.34
Adelaide Crows,Round 16,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,1.7,36.63,10.94,42.4
Geelong Cats,Round 17,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-4.63,39.06,2.8,39.29
Essendon,Round 18,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-3.82,38.73,25.48,47.96
West Coast Eagles,Round 19,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.24,37.72,37.0,52.36
Collingwood,Round 20,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.12,36.84,-3.64,36.83
Gold Coast SUNS,Round 21,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.44,36.72,3.45,39.54
St Kilda,Round 22,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,1.7,36.63,8.4,41.43
North Melbourne,Round 23,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.86,40.43,22.53,46.83
Geelong Cats,Round 24,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-4.63,39.06,2.8,39.29
