,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Adelaide Crows,Round 1,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,1.13,46.52,-0.51,47.26
Geelong Cats,Round 2,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-4.97,49.5,2.11,48.5
Richmond,Round 3,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-3.62,48.81,4.91,49.83
Port Adelaide,Round 4,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,4.87,44.86,-5.03,45.11
GWS GIANTS,Round 5,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.13,47.58,8.82,51.69
Western Bulldogs,Round 6,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.25,44.69,1.66,48.29
Brisbane Lions,Round 7,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.49,44.17,-14.95,40.4
Fremantle,Round 8,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,4.82,44.88,-7.28,44.04
Carlton,Round 9,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-3.82,48.91,1.66,48.29
West Coast Eagles,Round 10,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.1,47.56,4.42,49.6
Gold Coast SUNS,Round 11,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.53,46.33,16.69,55.43
Melbourne,Round 12,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.04,50.6,2.25,48.57
Western Bulldogs,Round 14,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.25,44.69,1.66,48.29
Collingwood,Round 15,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.11,46.52,24.21,59.0
Fremantle,Round 16,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,4.82,44.88,-7.28,44.04
Hawthorn,Round 17,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.46,42.98,-11.71,41.94
Sydney Swans,Round 18,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-0.95,47.49,15.39,54.81
Geelong Cats,Round 19,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-4.97,49.5,2.11,48.5
Melbourne,Round 20,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.04,50.6,2.25,48.57
North Melbourne,Round 21,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.7,50.96,16.21,55.2
Richmond,Round 22,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-3.62,48.81,4.91,49.83
Essendon,Round 23,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-2.87,48.43,15.31,54.77
GWS GIANTS,Round 24,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.13,47.58,8.82,51.69
