,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Hawthorn,Opening Round,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.52,48.41,-11.59,46.97
Brisbane Lions,Round 1,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.94,49.58,0.56,53.43
Fremantle,Round 2,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,4.88,50.55,-2.56,51.77
North Melbourne,Round 4,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.6,57.38,-7.28,49.26
Collingwood,Round 5,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.05,52.47,4.1,55.31
Port Adelaide,Round 6,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,4.93,50.53,-15.25,45.03
Gold Coast SUNS,Round 7,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.35,52.31,-2.56,51.77
GWS GIANTS,Round 8,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.19,53.66,6.23,56.44
Essendon,Round 9,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-3.14,54.74,23.23,65.47
Carlton,Round 10,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-3.8,55.11,13.42,60.26
Melbourne,Round 11,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.4,57.26,-0.94,52.63
Adelaide Crows,Round 12,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,1.15,52.42,12.06,59.54
Richmond,Round 13,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-3.75,55.08,5.72,56.17
Port Adelaide,Round 15,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,4.93,50.53,-15.25,45.03
Western Bulldogs,Round 16,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.38,50.31,-2.39,51.86
Fremantle,Round 17,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,4.88,50.55,-2.56,51.77
St Kilda,Round 18,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,2.22,51.87,-6.91,49.46
North Melbourne,Round 19,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.6,57.38,-7.28,49.26
GWS GIANTS,Round 20,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.19,53.66,6.23,56.44
Essendon,Round 21,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-3.14,54.74,23.23,65.47
Brisbane Lions,Round 22,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.94,49.58,0.56,53.43
Geelong Cats,Round 23,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-4.78,55.68,9.86,58.37
West Coast Eagles,Round 24,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-0.92,53.51,20.4,63.97
