,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Gold Coast SUNS,Round 1,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.5,43.99,9.9,49.31
Brisbane Lions,Round 2,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,7.01,41.72,10.41,49.54
Fremantle,Round 3,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,4.48,42.74,-8.4,41.1
GWS GIANTS,Round 4,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.12,45.15,8.89,48.86
Carlton,Round 5,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-4.3,46.66,-4.55,42.83
Essendon,Round 6,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-2.65,45.87,9.78,49.26
Hawthorn,Round 7,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.44,40.8,-12.19,39.4
Melbourne,Round 8,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.86,48.46,7.22,48.11
Richmond,Round 9,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-3.44,46.24,-5.79,42.27
St Kilda,Round 10,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,1.92,43.81,17.09,52.54
Adelaide Crows,Round 11,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,1.45,44.01,-4.08,43.04
Geelong Cats,Round 12,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-5.1,47.05,21.93,54.71
North Melbourne,Round 13,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.11,48.07,6.66,47.86
Carlton,Round 14,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-4.3,46.66,-4.55,42.83
Collingwood,Round 16,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.51,43.99,-15.38,37.97
GWS GIANTS,Round 17,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.12,45.15,8.89,48.86
Port Adelaide,Round 18,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,5.09,42.49,-7.8,41.37
Richmond,Round 19,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-3.44,46.24,-5.79,42.27
Fremantle,Round 20,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,4.48,42.74,-8.4,41.1
Melbourne,Round 21,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.86,48.46,7.22,48.11
Adelaide Crows,Round 22,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,1.45,44.01,-4.08,43.04
Western Bulldogs,Round 23,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.12,42.48,1.25,45.43
Sydney Swans,Round 24,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-1.25,45.21,-10.79,40.03
