,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
North Melbourne,Round 1,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.36,53.49,13.88,56.94
Collingwood,Round 2,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.28,48.92,6.28,53.14
Carlton,Round 3,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-4.17,51.71,-8.0,46.0
Fremantle,Round 4,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,4.48,47.43,-6.52,46.74
Brisbane Lions,Round 5,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.63,46.47,-16.98,41.51
St Kilda,Round 6,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,2.65,48.27,20.8,60.4
GWS GIANTS,Round 7,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.12,50.11,0.54,50.27
Port Adelaide,Round 8,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,4.91,47.23,-26.4,36.8
Gold Coast SUNS,Round 9,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.26,48.94,7.88,53.94
Essendon,Round 10,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-2.41,50.77,16.06,58.03
Geelong Cats,Round 11,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-5.16,52.25,20.86,60.43
Hawthorn,Round 13,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.27,45.35,-11.14,44.43
St Kilda,Round 14,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,2.65,48.27,20.8,60.4
Richmond,Round 15,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-3.3,51.24,7.88,53.94
Sydney Swans,Round 16,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-1.13,50.12,9.82,54.91
North Melbourne,Round 17,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.36,53.49,13.88,56.94
Adelaide Crows,Round 18,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,0.71,49.2,-10.92,44.54
Brisbane Lions,Round 19,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.63,46.47,-16.98,41.51
Essendon,Round 20,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-2.41,50.77,16.06,58.03
GWS GIANTS,Round 21,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.12,50.11,0.54,50.27
Melbourne,Round 22,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.04,53.3,-1.88,49.06
West Coast Eagles,Round 23,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-0.88,49.99,9.6,54.8
Fremantle,Round 24,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,4.48,47.43,-6.52,46.74
