playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,marksInside50 W Mean,marksInside50 Scalar,rebound50s W Mean,rebound50s Scalar,bounces W Mean,bounces Scalar,metresGained W Mean,metresGained Scalar,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency Scalar,extendedStats.marksOnLead W Mean,extendedStats.marksOnLead Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Aaron Cadman,4.0,12.0,-52.75,1.0,2.0,-83.69,3.0,9.0,-22.66,2.0,8.0,-26.12,0.0,0.0,-100.0,0.0,-0.0,-100.0,1.0,6.0,34.41,0.0,0.0,-100.0,5.0,-65.75,4.0,-55.22,1.0,-82.13,1.0,125.23,2.0,-41.79,0.0,-100.0,1.0,-58.78,2.0,165.96,0.0,-100.0,0.0,-100.0,94.0,-59.64,25.0,-59.79,0.0,-100.0,0.0,-100.0,37.0,-0.0,-42.88,37.0
Aaron Francis,6.0,18.0,-29.13,1.0,2.0,-83.69,5.0,15.0,28.9,1.0,4.0,-63.06,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,1.0,1.0,99.6,7.0,-52.04,3.0,-66.41,5.0,-10.63,2.0,350.45,3.0,-12.69,0.0,-100.0,0.0,-100.0,2.0,165.96,2.0,99.8,0.0,-100.0,170.0,-27.01,33.3,-46.44,1.0,141.55,0.0,-100.0,40.0,-0.0,-38.25,40.0
Adam Treloar,17.5,52.5,106.71,15.36,30.72,150.53,4.28,12.84,10.34,4.97,19.88,83.6,0.5,0.5,-40.55,0.08,-0.24,-89.82,1.5,9.0,101.61,0.03,0.03,-94.01,32.86,125.11,19.84,122.12,12.89,130.38,0.28,-36.94,3.99,16.12,5.06,250.42,3.22,32.73,0.57,-24.2,1.17,16.88,0.62,229.79,409.61,75.86,61.76,-0.67,0.0,-100.0,1.74,111.42,125.17,13.02,93.24,125.23
Alec Waterman,6.0,18.0,-29.13,3.0,6.0,-51.07,2.0,6.0,-48.44,3.0,12.0,10.82,0.0,0.0,-100.0,4.0,-12.0,408.91,1.0,6.0,34.41,1.0,1.0,99.6,9.0,-38.34,3.0,-66.41,5.0,-10.63,0.0,-100.0,2.0,-41.79,0.0,-100.0,3.0,23.66,1.0,32.98,0.0,-100.0,0.0,-100.0,204.0,-12.42,66.7,7.27,1.0,141.55,0.0,-100.0,37.0,-0.0,-42.88,37.0
Alex Cincotta,5.5,16.5,-35.03,5.25,10.5,-14.37,1.25,3.75,-67.78,3.25,13.0,20.06,0.5,0.5,-40.55,0.75,-2.25,-4.58,1.5,9.0,101.61,0.0,0.0,-100.0,10.75,-26.35,7.25,-18.83,3.5,-37.44,0.0,-100.0,1.25,-63.62,0.75,-48.06,2.25,-7.25,0.5,-33.51,1.0,-0.1,0.25,32.98,187.75,-19.39,64.7,4.06,0.0,-100.0,2.0,143.01,51.0,-0.0,-21.26,51.0
Alex Davies,5.0,15.0,-40.94,10.86,21.72,77.13,2.86,8.58,-26.27,4.0,16.0,47.77,0.14,0.14,-83.35,1.14,-3.42,45.04,0.86,5.16,15.59,0.14,0.14,-72.06,15.86,8.65,11.71,31.1,3.29,-41.2,0.0,-100.0,2.86,-16.76,1.86,28.81,0.14,-94.23,0.86,14.36,1.71,70.83,0.0,-100.0,164.14,-29.53,94.29,51.65,0.0,-100.0,0.86,4.5,63.29,17.2,-2.29,63.32
Alex Neal-Bullen,9.47,28.41,11.86,8.54,17.08,39.29,2.97,8.91,-23.43,5.0,20.0,84.71,1.03,1.03,22.47,0.47,-1.41,-40.2,0.33,1.98,-55.65,0.35,0.35,-30.14,18.02,23.45,10.57,18.34,7.27,29.94,0.01,-97.75,2.96,-13.85,2.61,80.75,2.8,15.42,0.27,-64.1,1.19,18.88,0.16,-14.89,266.96,14.62,53.41,-14.1,0.37,-10.63,1.12,36.09,76.41,5.22,17.97,76.35
Alex Sexton,13.3,39.9,57.1,4.88,9.76,-20.4,5.58,16.74,43.85,1.67,6.68,-38.31,0.16,0.16,-80.98,1.02,-3.06,29.77,0.42,2.52,-43.55,0.19,0.19,-62.08,18.19,24.61,11.98,34.12,2.88,-48.53,0.44,-0.9,5.14,49.59,0.84,-41.83,1.91,-21.27,0.21,-72.07,5.86,485.41,0.86,357.45,467.95,100.91,79.54,27.93,0.14,-66.18,0.02,-97.57,72.91,0.57,12.56,72.89
Alwyn Davey Jnr,5.76,17.28,-31.96,3.53,7.06,-42.42,1.52,4.56,-60.81,1.86,7.44,-31.29,0.62,0.62,-26.28,0.57,-1.71,-27.48,0.72,4.32,-3.23,0.0,0.0,-100.0,9.28,-36.43,5.33,-40.33,3.33,-40.48,0.0,-100.0,1.52,-55.76,0.28,-80.61,2.72,12.12,0.38,-49.47,0.0,-100.0,0.14,-25.53,143.81,-38.26,58.08,-6.59,0.95,129.47,0.95,15.43,39.53,-10.5,-38.97,39.57
Andrew Brayshaw,10.0,30.0,18.12,20.0,40.0,226.21,5.5,16.5,41.79,6.0,24.0,121.65,1.0,1.0,18.91,1.0,-3.0,27.23,0.0,0.0,-100.0,0.0,0.0,-100.0,30.0,105.52,16.0,79.13,12.5,123.41,0.0,-100.0,5.5,60.07,4.0,177.01,3.0,23.66,0.0,-100.0,1.5,49.85,0.5,165.96,303.5,30.3,60.0,-3.5,0.0,-100.0,0.5,-39.25,108.5,-0.0,67.51,108.5
Andrew Gaff,9.67,29.01,14.22,14.67,29.34,139.28,6.67,20.01,71.95,2.67,10.68,-1.37,0.33,0.33,-60.76,0.33,-0.99,-58.02,0.33,1.98,-55.65,0.33,0.33,-34.13,24.33,66.68,17.33,94.02,7.33,31.01,0.33,-25.68,6.33,84.23,1.67,15.65,2.67,10.06,0.67,-10.9,2.0,99.8,0.33,75.53,223.67,-3.97,71.97,15.75,0.0,-100.0,0.33,-59.9,90.67,-0.0,39.98,90.69
Andrew McGrath,9.0,27.0,6.31,9.0,18.0,46.79,7.0,21.0,80.46,5.0,20.0,84.71,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,18.0,23.31,13.0,45.54,5.0,-10.63,1.0,125.23,6.0,74.62,0.0,-100.0,1.0,-58.78,0.0,-100.0,2.0,99.8,1.0,431.91,242.0,3.9,88.9,42.98,1.0,141.55,0.0,-100.0,86.0,-0.0,32.77,86.0
