opponent,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,marksInside50 W Mean,marksInside50 Scalar,rebound50s W Mean,rebound50s Scalar,bounces W Mean,bounces Scalar,metresGained W Mean,metresGained Scalar,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency Scalar,extendedStats.marksOnLead W Mean,extendedStats.marksOnLead Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Adelaide Crows,6.12,18.36,-2.08,4.09,8.18,1.67,2.4,7.2,-14.86,2.36,9.44,14.67,0.64,0.64,8.66,0.71,-2.13,25.0,0.84,5.04,1.69,0.61,0.61,15.09,10.21,-0.61,5.82,-7.19,4.35,8.02,0.37,9.79,2.03,-18.21,1.0,9.53,1.96,2.83,0.76,-5.35,0.39,-13.91,0.14,2.94,174.1,0.59,42.92,-3.75,0.5,14.16,0.55,-0.54,47.88,-0.25,-0.8,47.34
Brisbane Lions,5.56,16.68,-11.04,3.93,7.86,-2.31,2.45,7.35,-13.09,2.1,8.4,2.04,0.62,0.62,5.26,0.48,-1.44,-15.49,0.82,4.92,-0.73,0.47,0.47,-11.32,9.49,-7.62,5.86,-6.55,3.77,-6.38,0.24,-28.78,2.21,-10.96,0.89,-2.52,1.59,-16.58,0.71,-11.58,0.49,8.17,0.17,25.0,162.72,-5.99,41.83,-6.19,0.32,-26.94,0.41,-25.86,45.19,-4.09,-6.37,44.86
Carlton,6.46,19.38,3.36,4.26,8.52,5.89,2.8,8.4,-0.67,2.4,9.6,16.62,0.65,0.65,10.36,0.58,-1.74,2.11,0.74,4.44,-10.41,0.58,0.58,9.43,10.72,4.35,6.58,4.93,4.19,4.05,0.4,18.69,2.4,-3.3,1.12,22.67,2.12,11.23,0.75,-6.6,0.45,-0.66,0.17,25.0,177.37,2.48,45.02,0.96,0.28,-36.07,0.64,15.73,50.42,1.61,4.46,49.83
Collingwood,6.22,18.66,-0.48,4.35,8.7,8.13,2.77,8.31,-1.74,1.75,7.0,-14.97,0.66,0.66,12.05,0.61,-1.83,7.39,0.87,5.22,5.33,0.5,0.5,-5.66,10.58,2.99,6.31,0.62,4.3,6.78,0.31,-8.01,2.46,-0.89,1.05,15.01,1.88,-1.36,0.66,-17.81,0.4,-11.7,0.12,-11.76,173.94,0.49,45.09,1.12,0.29,-33.79,0.6,8.5,47.91,0.18,-0.74,47.22
Essendon,6.68,20.04,6.88,4.01,8.02,-0.32,3.23,9.69,14.58,1.6,6.4,-22.25,0.51,0.51,-13.41,0.56,-1.68,-1.41,0.95,5.7,15.01,0.55,0.55,3.77,10.69,4.06,6.41,2.22,4.17,3.55,0.45,33.53,2.78,12.01,0.93,1.86,1.9,-0.31,0.94,17.06,0.54,19.21,0.14,2.94,186.25,7.61,45.74,2.57,0.5,14.16,0.62,12.12,49.52,-3.02,2.6,49.23
Fremantle,5.85,17.55,-6.4,3.64,7.28,-9.52,2.77,8.31,-1.74,2.29,9.16,11.27,0.58,0.58,-1.53,0.69,-2.07,21.48,0.73,4.38,-11.62,0.5,0.5,-5.66,9.5,-7.52,5.91,-5.76,3.64,-9.61,0.31,-8.01,2.46,-0.89,0.84,-8.0,1.94,1.78,0.74,-7.85,0.34,-24.94,0.16,17.65,161.12,-6.91,47.46,6.43,0.46,5.02,0.4,-27.67,46.16,-3.07,-4.36,45.69
GWS GIANTS,6.4,19.2,2.4,4.25,8.5,5.64,2.69,8.07,-4.58,1.98,7.92,-3.79,0.65,0.65,10.36,0.5,-1.5,-11.97,0.82,4.92,-0.73,0.65,0.65,22.64,10.65,3.67,6.25,-0.33,4.36,8.27,0.36,6.82,2.33,-6.12,0.98,7.34,1.92,0.73,0.78,-2.86,0.56,23.62,0.04,-70.59,174.71,0.94,42.54,-4.6,0.53,21.0,0.63,13.92,48.92,0.14,1.36,48.41
Geelong Cats,6.39,19.17,2.24,4.15,8.3,3.16,2.81,8.43,-0.32,2.52,10.08,22.45,0.52,0.52,-11.71,0.53,-1.59,-6.69,0.84,5.04,1.69,0.48,0.48,-9.43,10.54,2.6,6.38,1.74,4.15,3.05,0.34,0.89,2.48,-0.08,0.8,-12.38,1.92,0.73,0.82,2.12,0.47,3.75,0.16,17.65,181.67,4.96,44.14,-1.01,0.36,-17.81,0.53,-4.16,50.8,1.93,5.25,50.43
Gold Coast SUNS,6.39,19.17,2.24,3.72,7.44,-7.53,2.73,8.19,-3.16,2.13,8.52,3.5,0.6,0.6,1.87,0.66,-1.98,16.2,0.81,4.86,-1.94,0.4,0.4,-24.53,10.11,-1.59,6.44,2.69,3.91,-2.91,0.21,-37.69,2.52,1.53,0.85,-6.9,1.95,2.31,0.63,-21.54,0.55,21.41,0.13,-4.41,178.83,3.32,45.94,3.02,0.54,23.29,0.49,-11.39,47.47,-3.55,-1.65,47.2
Hawthorn,5.69,17.07,-8.96,3.65,7.3,-9.27,2.51,7.53,-10.96,2.02,8.08,-1.85,0.62,0.62,5.26,0.58,-1.74,2.11,0.73,4.38,-11.62,0.48,0.48,-9.43,9.34,-9.08,5.46,-12.93,3.8,-5.64,0.32,-5.04,2.19,-11.76,0.82,-10.19,1.81,-5.04,0.76,-5.35,0.42,-7.28,0.15,10.29,162.17,-6.31,42.72,-4.2,0.38,-13.24,0.56,1.27,44.02,-10.62,-8.8,43.72
