team.name,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,marksInside50 W Mean,marksInside50 Scalar,rebound50s W Mean,rebound50s Scalar,bounces W Mean,bounces Scalar,metresGained W Mean,metresGained Scalar,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency Scalar,extendedStats.marksOnLead W Mean,extendedStats.marksOnLead Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Adelaide Crows,7.29,21.87,16.64,4.76,9.52,18.32,2.9,8.7,2.91,2.13,8.52,3.5,0.69,0.69,16.95,0.66,-1.98,16.4,0.93,5.58,12.59,0.49,0.49,-7.37,12.05,17.3,7.03,12.1,5.13,27.39,0.3,-10.98,2.6,4.71,1.48,62.1,2.28,19.75,0.79,-1.62,0.53,17.0,0.22,60.58,208.43,20.42,47.16,5.76,0.39,-10.96,0.63,13.92,53.81,4.39,11.48,53.39
Brisbane Lions,7.86,23.58,25.76,4.14,8.28,2.91,3.51,10.53,24.56,2.11,8.44,2.53,0.55,0.55,-6.78,0.6,-1.8,5.82,0.89,5.34,7.75,0.61,0.61,15.31,12.0,16.81,7.75,23.58,4.32,7.28,0.29,-13.95,3.22,29.68,1.25,36.91,2.29,20.27,0.76,-5.35,0.76,67.77,0.16,16.79,214.57,23.97,46.86,5.08,0.45,2.74,0.61,10.31,55.66,4.87,15.31,55.53
Carlton,5.75,17.25,-8.0,3.07,6.14,-23.69,2.85,8.55,1.14,1.79,7.16,-13.02,0.56,0.56,-5.08,0.45,-1.35,-20.63,1.01,6.06,22.28,0.55,0.55,3.97,8.82,-14.14,5.24,-16.44,3.63,-9.86,0.57,69.14,2.28,-8.18,0.55,-39.76,1.62,-14.92,0.91,13.33,0.4,-11.7,0.03,-78.1,152.39,-11.96,41.42,-7.12,0.48,9.59,0.52,-5.97,45.23,-2.52,-6.29,44.92
Collingwood,5.75,17.25,-8.0,3.42,6.84,-14.99,2.5,7.5,-11.28,2.3,9.2,11.76,0.63,0.63,6.78,0.56,-1.68,-1.23,0.81,4.86,-1.94,0.62,0.62,17.2,9.17,-10.74,5.44,-13.25,3.58,-11.1,0.35,3.86,2.15,-13.41,0.78,-14.57,1.7,-10.71,0.92,14.57,0.26,-42.6,0.17,24.09,154.99,-10.45,44.76,0.37,0.39,-10.96,0.59,6.69,45.99,-4.94,-4.72,45.22
Essendon,6.4,19.2,2.4,4.74,9.48,17.82,2.99,8.97,6.1,2.28,9.12,10.79,0.55,0.55,-6.78,0.69,-2.07,21.69,0.75,4.5,-9.2,0.39,0.39,-26.28,11.14,8.44,6.8,8.44,4.44,10.26,0.29,-13.95,2.7,8.74,1.34,46.77,2.23,17.12,0.76,-5.35,0.48,5.96,0.18,31.39,180.78,4.45,45.93,3.0,0.58,32.42,0.58,4.88,50.37,3.51,4.35,50.14
Fremantle,5.03,15.09,-19.52,3.8,7.6,-5.54,2.91,8.73,3.26,1.96,7.84,-4.76,0.59,0.59,-0.0,0.45,-1.35,-20.63,0.93,5.58,12.59,0.6,0.6,13.42,8.84,-13.95,5.56,-11.34,3.4,-15.57,0.43,27.6,2.48,-0.12,0.68,-25.52,1.49,-21.74,1.02,27.02,0.23,-49.23,0.13,-5.11,141.71,-18.13,45.98,3.11,0.46,5.02,0.45,-18.63,45.86,-3.4,-4.99,44.68
GWS GIANTS,6.26,18.78,0.16,4.57,9.14,13.6,2.38,7.14,-15.54,2.69,10.76,30.71,0.59,0.59,-0.0,0.64,-1.92,12.87,0.9,5.4,8.96,0.54,0.54,2.08,10.83,5.42,6.67,6.36,4.26,5.79,0.2,-40.65,2.18,-12.2,1.05,15.01,2.46,29.2,0.66,-17.81,0.24,-47.02,0.12,-12.41,188.96,9.17,44.58,-0.03,0.39,-10.96,0.54,-2.35,50.42,-4.47,4.46,50.43
Geelong Cats,6.79,20.37,8.64,4.15,8.3,3.16,2.71,8.13,-3.83,2.08,8.32,1.07,0.57,0.57,-3.39,0.47,-1.41,-17.11,1.04,6.24,25.91,0.61,0.61,15.31,10.94,6.49,6.78,8.12,4.03,0.07,0.31,-8.01,2.41,-2.94,0.9,-1.42,2.05,7.67,1.05,30.76,0.38,-16.11,0.15,9.49,189.87,9.7,43.82,-1.73,0.42,-4.11,0.65,17.54,51.38,1.09,6.45,51.13
Gold Coast SUNS,5.85,17.55,-6.4,3.41,6.82,-15.24,2.92,8.76,3.62,1.68,6.72,-18.37,0.46,0.46,-22.03,0.54,-1.62,-4.76,0.77,4.62,-6.78,0.49,0.49,-7.37,9.26,-9.86,5.8,-7.51,3.46,-14.08,0.37,9.79,2.55,2.7,0.53,-41.95,1.78,-6.51,0.9,12.08,0.57,25.83,0.11,-19.71,168.57,-2.61,43.97,-1.4,0.54,23.29,0.44,-20.43,43.95,-6.66,-8.95,43.8
Hawthorn,6.75,20.25,8.0,4.77,9.54,18.57,3.05,9.15,8.23,2.07,8.28,0.58,0.71,0.71,20.34,0.58,-1.74,2.29,0.79,4.74,-4.36,0.54,0.54,2.08,11.52,12.14,7.39,17.84,4.12,2.31,0.22,-34.72,2.83,13.98,1.06,16.1,1.84,-3.36,0.86,7.1,0.51,12.58,0.14,2.19,182.31,5.33,46.1,3.38,0.44,0.46,0.55,-0.54,51.72,-0.43,7.15,51.47
