,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
St Kilda,Round 1,147.0,4.74,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,30.9,192.43
Essendon,Round 2,147.0,7.19,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,11.08,163.29
North Melbourne,Round 3,147.0,4.79,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,13.41,166.71
Gold Coast SUNS,Round 4,147.0,4.44,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,-10.98,130.86
Geelong Cats,Round 5,147.0,2.7,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,3.79,152.57
GWS GIANTS,Round 6,147.0,-0.01,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,8.65,159.71
Fremantle,Round 7,147.0,-7.31,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,-1.36,145.0
Carlton,Round 8,147.0,9.75,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,-12.83,128.14
Port Adelaide,Round 9,147.0,-3.88,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,-7.19,136.43
Collingwood,Round 10,147.0,-2.77,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,-17.83,120.79
West Coast Eagles,Round 11,147.0,-0.84,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,10.3,162.14
Sydney Swans,Round 12,147.0,1.92,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,-19.53,118.29
Brisbane Lions,Round 13,147.0,-6.38,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,-11.18,130.57
Hawthorn,Round 14,147.0,-7.44,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,-6.9,136.86
Richmond,Round 16,147.0,0.18,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,-19.63,118.14
Melbourne,Round 17,147.0,3.9,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,6.61,156.71
Western Bulldogs,Round 18,147.0,-9.93,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,-18.46,119.86
Gold Coast SUNS,Round 19,147.0,4.44,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,-10.98,130.86
Port Adelaide,Round 20,147.0,-3.88,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,-7.19,136.43
Hawthorn,Round 21,147.0,-7.44,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,-6.9,136.86
West Coast Eagles,Round 22,147.0,-0.84,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,10.3,162.14
Collingwood,Round 23,147.0,-2.77,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,-17.83,120.79
North Melbourne,Round 24,147.0,4.79,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,13.41,166.71
