,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Geelong Cats,Opening Round,141.65,2.09,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,-15.79,119.29
Sydney Swans,Round 1,141.65,2.07,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,-1.26,139.86
West Coast Eagles,Round 2,141.65,-1.01,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,-7.82,130.57
Richmond,Round 4,141.65,1.14,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,-4.9,134.71
Western Bulldogs,Round 5,141.65,-10.78,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,-7.62,130.86
Collingwood,Round 6,141.65,-3.21,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,-12.46,124.0
St Kilda,Round 7,141.65,6.07,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,11.14,157.43
Gold Coast SUNS,Round 8,141.65,4.93,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,10.79,156.93
North Melbourne,Round 9,141.65,5.26,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,4.89,148.57
Melbourne,Round 10,141.65,4.8,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,2.67,145.43
Hawthorn,Round 11,141.65,-7.76,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,0.65,142.57
Essendon,Round 12,141.65,8.34,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,-7.57,130.93
Adelaide Crows,Round 13,141.65,-2.56,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,4.89,148.57
GWS GIANTS,Round 14,141.65,-0.01,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,-3.99,136.0
Geelong Cats,Round 15,141.65,2.09,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,-15.79,119.29
Port Adelaide,Round 17,141.65,-3.18,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,-7.21,131.43
Carlton,Round 18,141.65,8.42,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,-7.92,130.43
Western Bulldogs,Round 19,141.65,-10.78,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,-7.62,130.86
Gold Coast SUNS,Round 20,141.65,4.93,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,10.79,156.93
Collingwood,Round 21,141.65,-3.21,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,-12.46,124.0
Sydney Swans,Round 22,141.65,2.07,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,-1.26,139.86
Fremantle,Round 23,141.65,-7.75,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,1.96,144.43
Hawthorn,Round 24,141.65,-7.76,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,0.65,142.57
