,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Richmond,Round 1,108.94,-0.23,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,-10.69,97.29
Hawthorn,Round 2,108.94,-7.44,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,-1.91,106.86
Western Bulldogs,Round 3,108.94,-10.38,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,3.2,112.43
Collingwood,Round 4,108.94,-3.39,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,0.39,109.36
West Coast Eagles,Round 5,108.94,-0.97,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,16.84,127.29
North Melbourne,Round 6,108.94,5.04,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,21.17,132.0
Geelong Cats,Round 7,108.94,2.81,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,-11.09,96.86
Adelaide Crows,Round 8,108.94,-1.36,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,-12.4,95.43
St Kilda,Round 9,108.94,4.04,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,8.58,118.29
Sydney Swans,Round 10,108.94,1.43,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,-16.34,91.14
GWS GIANTS,Round 11,108.94,0.1,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,-19.49,87.71
Essendon,Round 13,108.94,6.98,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,33.5,145.43
West Coast Eagles,Round 14,108.94,-0.97,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,16.84,127.29
North Melbourne,Round 15,108.94,5.04,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,21.17,132.0
Port Adelaide,Round 16,108.94,-3.32,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,28.51,140.0
Collingwood,Round 17,108.94,-3.39,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,0.39,109.36
Brisbane Lions,Round 18,108.94,-6.1,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,40.71,153.29
Melbourne,Round 19,108.94,3.12,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,-12.92,94.86
Hawthorn,Round 20,108.94,-7.44,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,-1.91,106.86
Fremantle,Round 21,108.94,-6.65,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,-9.12,99.0
Gold Coast SUNS,Round 22,108.94,4.68,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,30.22,141.86
Port Adelaide,Round 23,108.94,-3.32,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,28.51,140.0
Essendon,Round 24,108.94,6.98,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,33.5,145.43
