,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
GWS GIANTS,Opening Round,121.49,-0.07,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,15.35,140.14
Port Adelaide,Round 1,121.49,-3.47,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,-4.63,115.86
Western Bulldogs,Round 2,121.49,-11.45,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,-18.4,99.14
Carlton,Round 4,121.49,7.81,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,-0.11,121.36
Sydney Swans,Round 5,121.49,1.2,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,-13.57,105.0
Brisbane Lions,Round 6,121.49,-7.05,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,13.59,138.0
Essendon,Round 7,121.49,7.62,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,-7.23,112.71
Geelong Cats,Round 8,121.49,2.23,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,-6.52,113.57
Fremantle,Round 9,121.49,-7.8,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,7.47,130.57
Adelaide Crows,Round 10,121.49,-2.54,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,-6.75,113.29
North Melbourne,Round 11,121.49,5.24,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,-7.7,112.14
Hawthorn,Round 12,121.49,-8.05,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,3.0,125.14
Melbourne,Round 13,121.49,3.52,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,-7.34,112.57
St Kilda,Round 15,121.49,4.71,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,15.24,140.0
West Coast Eagles,Round 16,121.49,-1.06,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,-39.56,73.43
Carlton,Round 17,121.49,7.81,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,-0.11,121.36
Gold Coast SUNS,Round 18,121.49,4.26,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,27.64,155.07
Fremantle,Round 19,121.49,-7.8,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,7.47,130.57
Richmond,Round 20,121.49,0.21,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,6.07,128.86
Brisbane Lions,Round 21,121.49,-7.05,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,13.59,138.0
Hawthorn,Round 22,121.49,-8.05,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,3.0,125.14
Adelaide Crows,Round 23,121.49,-2.54,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,-6.75,113.29
Melbourne,Round 24,121.49,3.52,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,-7.34,112.57
