,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Gold Coast SUNS,Opening Round,129.39,3.58,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,12.4,145.43
Hawthorn,Round 1,129.39,-7.37,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,8.97,141.0
Adelaide Crows,Round 2,129.39,-1.62,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,9.31,141.43
Port Adelaide,Round 3,129.39,-4.57,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,-7.2,120.07
Melbourne,Round 5,129.39,3.76,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,-22.17,100.71
West Coast Eagles,Round 6,129.39,-0.68,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,4.78,135.57
Collingwood,Round 7,129.39,-3.0,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,-12.72,112.93
North Melbourne,Round 8,129.39,4.04,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,5.11,136.0
Sydney Swans,Round 9,129.39,1.98,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,-16.97,107.43
Western Bulldogs,Round 10,129.39,-9.08,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,-3.83,124.43
Richmond,Round 11,129.39,-1.0,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,2.9,133.14
Brisbane Lions,Round 12,129.39,-5.35,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,3.45,133.86
Carlton,Round 13,129.39,11.24,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,14.82,148.57
Geelong Cats,Round 14,129.39,3.15,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,10.63,143.14
Fremantle,Round 15,129.39,-6.13,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,18.8,153.71
Gold Coast SUNS,Round 17,129.39,3.58,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,12.4,145.43
Richmond,Round 18,129.39,-1.0,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,2.9,133.14
GWS GIANTS,Round 19,129.39,-0.33,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,10.85,143.43
Western Bulldogs,Round 20,129.39,-9.08,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,-3.83,124.43
Sydney Swans,Round 21,129.39,1.98,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,-16.97,107.43
Geelong Cats,Round 22,129.39,3.15,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,10.63,143.14
St Kilda,Round 23,129.39,4.04,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,-5.71,122.0
Carlton,Round 24,129.39,11.24,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,14.82,148.57
