,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Geelong Cats,Round 1,103.24,2.06,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,7.38,110.86
Sydney Swans,Round 2,103.24,0.66,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,20.52,124.43
West Coast Eagles,Round 3,103.24,-1.21,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,34.09,138.43
Western Bulldogs,Round 4,103.24,-11.06,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,-3.97,99.14
Richmond,Round 5,103.24,-0.25,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,1.84,105.14
Melbourne,Round 6,103.24,2.93,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,25.02,129.07
Adelaide Crows,Round 7,103.24,-2.53,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,-15.18,87.57
St Kilda,Round 8,103.24,3.33,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,-15.11,87.64
Collingwood,Round 9,103.24,-3.4,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,-3.14,100.0
GWS GIANTS,Round 10,103.24,-0.23,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,1.08,104.36
Port Adelaide,Round 11,103.24,-3.76,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,11.67,115.29
Gold Coast SUNS,Round 12,103.24,3.96,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,20.24,124.14
North Melbourne,Round 14,103.24,5.49,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,14.43,118.14
Essendon,Round 15,103.24,7.29,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,-12.41,90.43
St Kilda,Round 16,103.24,3.33,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,-15.11,87.64
Sydney Swans,Round 17,103.24,0.66,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,20.52,124.43
Hawthorn,Round 18,103.24,-8.07,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,-15.73,87.0
Collingwood,Round 19,103.24,-3.4,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,-3.14,100.0
West Coast Eagles,Round 20,103.24,-1.21,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,34.09,138.43
Carlton,Round 21,103.24,8.16,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,11.81,115.43
Port Adelaide,Round 22,103.24,-3.76,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,11.67,115.29
Brisbane Lions,Round 23,103.24,-6.74,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,-19.47,83.14
Western Bulldogs,Round 24,103.24,-11.06,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,-3.97,99.14
