,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Brisbane Lions,Opening Round,137.74,-6.69,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,-3.96,132.29
Fremantle,Round 1,137.74,-7.13,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,-30.2,96.14
St Kilda,Round 2,137.74,3.85,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,-15.21,116.79
Melbourne,Round 4,137.74,2.71,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,-4.27,131.86
Adelaide Crows,Round 5,137.74,-1.54,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,-12.47,120.57
Hawthorn,Round 6,137.74,-7.83,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,5.48,145.29
Carlton,Round 7,137.74,8.72,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,2.05,140.57
Collingwood,Round 8,137.74,-3.75,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,18.44,163.14
GWS GIANTS,Round 9,137.74,-0.31,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,-4.27,131.86
Port Adelaide,Round 10,137.74,-3.48,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,-9.46,124.71
Western Bulldogs,Round 11,137.74,-10.82,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,-14.59,117.64
West Coast Eagles,Round 12,137.74,-1.58,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,8.33,149.21
Gold Coast SUNS,Round 13,137.74,4.6,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,-7.28,127.71
Essendon,Round 14,137.74,6.73,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,23.52,170.14
Brisbane Lions,Round 15,137.74,-6.69,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,-3.96,132.29
Richmond,Round 17,137.74,-0.39,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,-19.2,111.29
GWS GIANTS,Round 18,137.74,-0.31,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,-4.27,131.86
St Kilda,Round 19,137.74,3.85,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,-15.21,116.79
North Melbourne,Round 20,137.74,4.54,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,19.12,164.07
Port Adelaide,Round 21,137.74,-3.48,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,-9.46,124.71
Essendon,Round 22,137.74,6.73,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,23.52,170.14
Sydney Swans,Round 23,137.74,1.07,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,-20.14,110.0
Richmond,Round 24,137.74,-0.39,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,-19.2,111.29
