,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Essendon,Opening Round,118.55,8.07,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,-5.77,111.71
West Coast Eagles,Round 1,118.55,-1.41,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,-16.07,99.5
Melbourne,Round 3,118.55,5.43,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,-10.34,106.29
Adelaide Crows,Round 4,118.55,-3.0,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,24.84,148.0
North Melbourne,Round 5,118.55,4.91,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,10.86,131.43
Richmond,Round 6,118.55,1.0,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,-8.06,109.0
Sydney Swans,Round 7,118.55,2.27,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,15.56,137.0
Brisbane Lions,Round 8,118.55,-6.79,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,-4.14,113.64
Western Bulldogs,Round 9,118.55,-10.3,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,-22.28,92.14
Hawthorn,Round 10,118.55,-7.86,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,35.56,160.71
St Kilda,Round 11,118.55,6.31,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,2.79,121.86
Fremantle,Round 12,118.55,-7.1,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,-15.77,99.86
Geelong Cats,Round 13,118.55,1.55,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,36.29,161.57
GWS GIANTS,Round 15,118.55,-0.48,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,4.23,123.57
Melbourne,Round 16,118.55,5.43,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,-10.34,106.29
Essendon,Round 17,118.55,8.07,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,-5.77,111.71
Collingwood,Round 18,118.55,-3.41,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,11.71,132.43
Adelaide Crows,Round 19,118.55,-3.0,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,24.84,148.0
Brisbane Lions,Round 20,118.55,-6.79,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,-4.14,113.64
Richmond,Round 21,118.55,1.0,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,-8.06,109.0
Carlton,Round 22,118.55,9.05,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,1.95,120.86
GWS GIANTS,Round 23,118.55,-0.48,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,4.23,123.57
Port Adelaide,Round 24,118.55,-3.19,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,22.31,145.0
