,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Sydney Swans,Opening Round,130.64,1.15,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,7.6,140.57
Essendon,Round 1,130.64,6.37,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,-0.16,130.43
Carlton,Round 2,130.64,8.98,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,31.33,171.57
GWS GIANTS,Round 3,130.64,-0.9,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,-16.79,108.71
Port Adelaide,Round 5,130.64,-4.34,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,9.57,143.14
Geelong Cats,Round 6,130.64,1.53,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,-14.38,111.86
West Coast Eagles,Round 7,130.64,-1.79,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,0.6,131.43
Richmond,Round 8,130.64,-0.65,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,14.98,150.21
Melbourne,Round 9,130.64,3.35,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,-6.94,121.57
Gold Coast SUNS,Round 10,130.64,3.54,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,-25.59,97.21
Brisbane Lions,Round 11,130.64,-6.75,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,4.21,136.14
Collingwood,Round 12,130.64,-3.69,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,7.71,140.71
Western Bulldogs,Round 13,130.64,-10.69,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,-2.3,127.64
Adelaide Crows,Round 14,130.64,-2.8,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,5.96,138.43
North Melbourne,Round 16,130.64,4.12,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,17.88,154.0
St Kilda,Round 17,130.64,4.07,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,-3.39,126.21
Fremantle,Round 18,130.64,-7.51,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,-6.51,122.14
Port Adelaide,Round 19,130.64,-4.34,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,9.57,143.14
Carlton,Round 20,130.64,8.98,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,31.33,171.57
Adelaide Crows,Round 21,130.64,-2.8,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,5.96,138.43
Collingwood,Round 22,130.64,-3.69,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,7.71,140.71
Melbourne,Round 23,130.64,3.35,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,-6.94,121.57
Brisbane Lions,Round 24,130.64,-6.75,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,4.21,136.14
