,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
GWS GIANTS,Round 1,130.78,-0.21,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,29.77,169.71
North Melbourne,Round 2,130.78,3.82,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,16.12,151.86
Gold Coast SUNS,Round 3,130.78,4.2,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,-9.67,118.14
Geelong Cats,Round 4,130.78,3.36,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,-4.64,124.71
Essendon,Round 5,130.78,5.74,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,-3.11,126.71
Fremantle,Round 6,130.78,-5.56,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,-34.19,86.07
Richmond,Round 7,130.78,-1.05,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,3.12,134.86
West Coast Eagles,Round 8,130.78,-0.84,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,10.54,144.57
Hawthorn,Round 9,130.78,-7.3,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,-9.01,119.0
Brisbane Lions,Round 10,130.78,-5.4,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,-1.09,129.36
Sydney Swans,Round 11,130.78,2.0,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,18.3,154.71
St Kilda,Round 12,130.78,4.34,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,5.52,138.0
Collingwood,Round 13,130.78,-3.73,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,17.81,154.07
Port Adelaide,Round 14,130.78,-3.93,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,-8.4,119.79
Gold Coast SUNS,Round 16,130.78,4.2,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,-9.67,118.14
Adelaide Crows,Round 17,130.78,-1.04,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,-3.11,126.71
North Melbourne,Round 18,130.78,3.82,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,16.12,151.86
Carlton,Round 19,130.78,10.87,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,11.53,145.86
St Kilda,Round 20,130.78,4.34,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,5.52,138.0
West Coast Eagles,Round 21,130.78,-0.84,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,10.54,144.57
Western Bulldogs,Round 22,130.78,-9.5,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,13.82,148.86
Hawthorn,Round 23,130.78,-7.3,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,-9.01,119.0
Collingwood,Round 24,130.78,-3.73,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,17.81,154.07
