,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Western Bulldogs,Round 1,118.55,-9.34,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,-9.74,107.0
Melbourne,Round 2,118.55,4.92,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,5.08,124.57
Adelaide Crows,Round 3,118.55,-2.45,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,-20.29,94.5
Sydney Swans,Round 4,118.55,2.3,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,-3.72,114.14
Gold Coast SUNS,Round 5,118.55,4.38,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,31.59,156.0
Carlton,Round 6,118.55,10.38,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,31.83,156.29
Port Adelaide,Round 7,118.55,-3.99,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,-5.41,112.14
Essendon,Round 8,118.55,7.11,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,2.07,121.0
Brisbane Lions,Round 9,118.55,-6.32,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,-18.3,96.86
Richmond,Round 10,118.55,0.31,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,-12.27,104.0
Collingwood,Round 11,118.55,-2.82,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,-7.81,109.29
West Coast Eagles,Round 13,118.55,-1.35,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,-6.12,111.29
Fremantle,Round 14,118.55,-6.96,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,-11.19,105.29
Carlton,Round 15,118.55,10.38,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,31.83,156.29
Hawthorn,Round 16,118.55,-7.6,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,-29.08,84.07
Western Bulldogs,Round 17,118.55,-9.34,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,-9.74,107.0
Melbourne,Round 18,118.55,4.92,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,5.08,124.57
Sydney Swans,Round 19,118.55,2.3,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,-3.72,114.14
Geelong Cats,Round 20,118.55,1.91,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,9.35,129.64
St Kilda,Round 21,118.55,5.37,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,10.38,130.86
GWS GIANTS,Round 22,118.55,-0.62,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,-6.37,111.0
Richmond,Round 23,118.55,0.31,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,-12.27,104.0
Adelaide Crows,Round 24,118.55,-2.45,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,-20.29,94.5
