,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Collingwood,Round 1,131.59,-3.53,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,-14.45,112.57
Richmond,Round 2,131.59,-0.06,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,7.69,141.71
Essendon,Round 3,131.59,6.95,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,-2.51,128.29
St Kilda,Round 4,131.59,5.17,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,-6.63,122.86
Hawthorn,Round 5,131.59,-7.69,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,0.31,132.0
Sydney Swans,Round 6,131.59,1.91,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,24.3,163.57
North Melbourne,Round 7,131.59,4.43,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,-23.35,100.86
Western Bulldogs,Round 8,131.59,-10.45,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,4.76,137.86
Adelaide Crows,Round 9,131.59,-2.03,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,3.13,135.71
Geelong Cats,Round 10,131.59,2.8,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,8.24,142.43
Fremantle,Round 11,131.59,-7.16,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,-4.47,125.71
GWS GIANTS,Round 13,131.59,-0.13,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,7.15,141.0
Melbourne,Round 14,131.59,3.92,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,-11.57,116.36
Sydney Swans,Round 15,131.59,1.91,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,24.3,163.57
Carlton,Round 16,131.59,9.29,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,13.56,149.43
Brisbane Lions,Round 17,131.59,-6.55,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,5.85,139.29
West Coast Eagles,Round 18,131.59,-0.83,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,-39.86,79.14
Hawthorn,Round 19,131.59,-7.69,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,0.31,132.0
Adelaide Crows,Round 20,131.59,-2.03,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,3.13,135.71
Geelong Cats,Round 21,131.59,2.8,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,8.24,142.43
Fremantle,Round 22,131.59,-7.16,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,-4.47,125.71
Carlton,Round 23,131.59,9.29,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,13.56,149.43
Gold Coast SUNS,Round 24,131.59,4.2,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,-29.76,92.43
