,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Carlton,Round 1,103.01,9.06,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,9.56,112.86
Port Adelaide,Round 2,103.01,-3.19,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,15.94,119.43
St Kilda,Round 3,103.01,5.06,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,2.77,105.86
Brisbane Lions,Round 4,103.01,-6.36,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,-28.3,73.86
Fremantle,Round 5,103.01,-6.72,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,2.35,105.43
Gold Coast SUNS,Round 6,103.01,4.83,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,2.77,105.86
Melbourne,Round 7,103.01,3.76,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,8.59,111.86
Hawthorn,Round 8,103.01,-7.49,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,29.25,133.14
West Coast Eagles,Round 9,103.01,-0.8,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,4.64,107.79
North Melbourne,Round 10,103.01,4.96,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,20.1,123.71
Essendon,Round 11,103.01,7.34,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,6.44,109.64
GWS GIANTS,Round 12,103.01,0.16,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,15.39,118.86
Sydney Swans,Round 13,103.01,1.82,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,-3.48,99.43
Western Bulldogs,Round 15,103.01,-10.58,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,15.8,119.29
Adelaide Crows,Round 16,103.01,-1.63,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,12.89,116.29
Geelong Cats,Round 17,103.01,2.92,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,13.72,117.14
Essendon,Round 18,103.01,7.34,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,6.44,109.64
West Coast Eagles,Round 19,103.01,-0.8,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,4.64,107.79
Collingwood,Round 20,103.01,-3.63,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,-28.3,73.86
Gold Coast SUNS,Round 21,103.01,4.83,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,2.77,105.86
St Kilda,Round 22,103.01,5.06,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,2.77,105.86
North Melbourne,Round 23,103.01,4.96,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,20.1,123.71
Geelong Cats,Round 24,103.01,2.92,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,13.72,117.14
