,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Adelaide Crows,Round 1,125.83,-2.8,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,-13.26,109.14
Geelong Cats,Round 2,125.83,1.67,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,-3.1,121.93
Richmond,Round 3,125.83,0.02,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,10.58,139.14
Port Adelaide,Round 4,125.83,-3.86,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,-7.36,116.57
GWS GIANTS,Round 5,125.83,-0.59,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,7.85,135.71
Western Bulldogs,Round 6,125.83,-10.69,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,-10.43,112.71
Brisbane Lions,Round 7,125.83,-6.79,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,-16.5,105.07
Fremantle,Round 8,125.83,-7.54,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,-0.26,125.5
Carlton,Round 9,125.83,8.84,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,-10.99,112.0
West Coast Eagles,Round 10,125.83,-1.59,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,-7.25,116.71
Gold Coast SUNS,Round 11,125.83,4.08,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,12.62,141.71
Melbourne,Round 12,125.83,3.85,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,5.25,132.43
Western Bulldogs,Round 14,125.83,-10.69,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,-10.43,112.71
Collingwood,Round 15,125.83,-3.44,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,22.62,154.29
Fremantle,Round 16,125.83,-7.54,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,-0.26,125.5
Hawthorn,Round 17,125.83,-7.88,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,-1.17,124.36
Sydney Swans,Round 18,125.83,1.51,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,18.58,149.21
Geelong Cats,Round 19,125.83,1.67,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,-3.1,121.93
Melbourne,Round 20,125.83,3.85,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,5.25,132.43
North Melbourne,Round 21,125.83,4.64,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,2.41,128.86
Richmond,Round 22,125.83,0.02,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,10.58,139.14
Essendon,Round 23,125.83,7.1,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,13.19,142.43
GWS GIANTS,Round 24,125.83,-0.59,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,7.85,135.71
