,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Hawthorn,Opening Round,141.51,-7.76,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,-32.97,94.86
Brisbane Lions,Round 1,141.51,-6.06,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,20.13,170.0
Fremantle,Round 2,141.51,-6.57,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,-15.41,119.71
North Melbourne,Round 4,141.51,4.33,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,-18.99,114.64
Collingwood,Round 5,141.51,-3.31,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,2.37,144.86
Port Adelaide,Round 6,141.51,-3.88,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,-24.39,107.0
Gold Coast SUNS,Round 7,141.51,4.1,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,0.04,141.57
GWS GIANTS,Round 8,141.51,-0.54,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,0.25,141.86
Essendon,Round 9,141.51,6.63,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,25.13,177.07
Carlton,Round 10,141.51,10.04,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,11.45,157.71
Melbourne,Round 11,141.51,4.05,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,-8.34,129.71
Adelaide Crows,Round 12,141.51,-2.09,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,8.52,153.57
Richmond,Round 13,141.51,-0.32,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,5.19,148.86
Port Adelaide,Round 15,141.51,-3.88,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,-24.39,107.0
Western Bulldogs,Round 16,141.51,-9.85,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,-4.1,135.71
Fremantle,Round 17,141.51,-6.57,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,-15.41,119.71
St Kilda,Round 18,141.51,4.58,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,-3.75,136.21
North Melbourne,Round 19,141.51,4.33,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,-18.99,114.64
GWS GIANTS,Round 20,141.51,-0.54,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,0.25,141.86
Essendon,Round 21,141.51,6.63,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,25.13,177.07
Brisbane Lions,Round 22,141.51,-6.06,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,20.13,170.0
Geelong Cats,Round 23,141.51,2.04,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,0.55,142.29
West Coast Eagles,Round 24,141.51,-1.35,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,27.3,180.14
