,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Gold Coast SUNS,Round 1,118.69,4.12,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,8.09,128.29
Brisbane Lions,Round 2,118.69,-6.19,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,26.86,150.57
Fremantle,Round 3,118.69,-6.6,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,-4.79,113.0
GWS GIANTS,Round 4,118.69,-0.37,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,18.8,141.0
Carlton,Round 5,118.69,9.6,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,-4.55,113.29
Essendon,Round 6,118.69,7.23,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,24.81,148.14
Hawthorn,Round 7,118.69,-7.87,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,-22.85,91.57
Melbourne,Round 8,118.69,4.81,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,2.79,122.0
Richmond,Round 9,118.69,0.11,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,-4.01,113.93
St Kilda,Round 10,118.69,5.44,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,22.77,145.71
Adelaide Crows,Round 11,118.69,-2.61,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,-16.71,98.86
Geelong Cats,Round 12,118.69,2.28,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,2.01,121.07
North Melbourne,Round 13,118.69,4.69,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,16.99,138.86
Carlton,Round 14,118.69,9.6,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,-4.55,113.29
Collingwood,Round 16,118.69,-3.57,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,-28.27,85.14
GWS GIANTS,Round 17,118.69,-0.37,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,18.8,141.0
Port Adelaide,Round 18,118.69,-3.67,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,-29.35,83.86
Richmond,Round 19,118.69,0.11,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,-4.01,113.93
Fremantle,Round 20,118.69,-6.6,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,-4.79,113.0
Melbourne,Round 21,118.69,4.81,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,2.79,122.0
Adelaide Crows,Round 22,118.69,-2.61,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,-16.71,98.86
Western Bulldogs,Round 23,118.69,-10.12,-14.92,-11.73,-0.5,-4.77,-24.93,-34.87,-28.67,-25.02,-25.98,87.86
Sydney Swans,Round 24,118.69,2.02,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,-19.6,95.43
