,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
North Melbourne,Round 1,138.29,4.93,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,19.0,164.57
Collingwood,Round 2,138.29,-3.17,-8.93,-4.36,9.37,-15.87,1.96,19.14,15.59,-18.71,-2.79,134.43
Carlton,Round 3,138.29,9.55,-0.31,6.04,21.06,26.11,-17.65,2.46,11.62,-3.29,-11.88,121.86
Fremantle,Round 4,138.29,-6.76,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,-8.37,126.71
Brisbane Lions,Round 5,138.29,-6.22,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,-12.29,121.29
St Kilda,Round 6,138.29,4.49,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,40.08,193.71
GWS GIANTS,Round 7,138.29,-0.14,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,-9.97,124.5
Port Adelaide,Round 8,138.29,-3.35,2.47,-3.23,-9.08,-3.9,9.24,-1.51,10.3,33.85,-38.43,85.14
Gold Coast SUNS,Round 9,138.29,4.78,5.98,8.36,-1.8,2.17,17.65,-26.13,12.95,36.65,6.81,147.71
Essendon,Round 10,138.29,7.2,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,16.01,160.43
Geelong Cats,Round 11,138.29,2.35,-8.79,0.87,-2.32,18.82,6.44,-23.75,-12.81,-16.61,23.7,171.07
Hawthorn,Round 13,138.29,-7.47,-11.56,-8.58,-8.12,-1.65,-5.88,-26.93,26.16,-2.59,-18.6,112.57
St Kilda,Round 14,138.29,4.49,19.87,14.06,-9.08,-10.15,-10.36,20.73,-0.92,-5.4,40.08,193.71
Richmond,Round 15,138.29,0.09,9.63,4.97,-3.1,-21.42,10.92,5.64,-2.91,-0.49,-15.6,116.71
Sydney Swans,Round 16,138.29,1.69,4.52,5.15,-1.71,0.09,-10.92,-1.51,6.34,-8.2,22.78,169.79
North Melbourne,Round 17,138.29,4.93,11.09,0.87,7.29,-6.5,29.97,9.61,8.32,5.82,19.0,164.57
Adelaide Crows,Round 18,138.29,-1.72,-21.94,-2.4,1.58,15.35,3.08,20.73,14.93,28.94,-0.93,137.0
Brisbane Lions,Round 19,138.29,-6.22,-10.69,-12.92,0.28,10.67,-15.97,4.05,6.34,-1.89,-12.29,121.29
Essendon,Round 20,138.29,7.2,19.28,10.26,4.09,-16.74,27.17,14.38,-4.89,5.82,16.01,160.43
GWS GIANTS,Round 21,138.29,-0.14,-4.84,-0.97,-1.02,0.78,11.48,14.38,7.0,0.91,-9.97,124.5
Melbourne,Round 22,138.29,3.73,21.62,8.06,2.01,-13.79,-12.04,10.41,-37.91,-22.92,-6.51,129.29
West Coast Eagles,Round 23,138.29,-1.21,-5.13,-2.64,-1.28,1.47,3.08,7.23,-24.04,-26.42,-3.41,133.57
Fremantle,Round 24,138.29,-6.76,-7.47,-11.79,-7.69,19.34,-23.25,-14.22,-6.87,19.13,-8.37,126.71
