opponent,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints,uncontestedPossessions W Mean,uncontestedPossessions,contestedPossessions W Mean,contestedPossessions,marks W Mean,marks,contestedMarks W Mean,contestedMarks,uncontestedMarks W Mean,uncontestedMarks,kicks W Mean,kicks,handballs W Mean,handballs,disposals W Mean,disposals,tackles W Mean,tackles,clearances.totalClearances W Mean,clearances.totalClearances,goals W Mean,goals,behinds W Mean,behinds,freesFor W Mean,freesFor,freesAgainst W Mean,freesAgainst,inside50s W Mean,inside50s,marksInside50 W Mean,marksInside50,rebound50s W Mean,rebound50s,bounces W Mean,bounces,metresGained W Mean,metresGained,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency,extendedStats.marksOnLead W Mean,extendedStats.marksOnLead,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches
Adelaide Crows,124.82,1.03,-1.42,15.97,-8.85,11.86,9.55,5.34,-21.94,0.64,17.65,4.7,-25.35,16.42,-2.4,11.73,1.58,28.15,-0.79,6.65,15.35,3.12,11.99,1.84,3.08,1.52,20.73,1.74,14.93,1.84,28.94,5.48,5.49,1.46,-9.03,1.3,-11.56,0.45,13.35,474.36,2.07,104.99,-11.77,0.81,-5.15,1.65,8.55
Brisbane Lions,118.95,-7.62,-6.06,16.53,-5.66,10.12,-6.52,6.11,-10.69,0.29,-46.69,5.81,-7.72,14.65,-12.92,11.58,0.28,26.23,-7.56,6.38,10.67,2.84,1.94,1.5,-15.97,1.31,4.05,1.61,6.34,1.4,-1.89,4.32,-16.84,1.51,-5.92,1.36,-7.48,0.34,-14.36,425.3,-8.49,113.7,-4.46,0.8,-6.32,1.09,-28.29
Carlton,138.8,2.51,9.62,19.69,12.38,12.07,11.49,6.82,-0.31,0.51,-6.25,6.31,0.22,17.84,6.04,13.98,21.06,31.83,12.18,7.27,26.11,3.79,36.04,1.47,-17.65,1.29,2.46,1.69,11.62,1.38,-3.29,6.09,17.23,1.26,-21.5,1.51,2.72,0.59,48.61,489.41,5.31,121.21,1.86,0.5,-41.45,1.75,15.13
Collingwood,123.06,-2.03,-2.81,17.25,-1.55,11.53,6.5,6.23,-8.93,0.5,-8.09,5.73,-8.99,16.09,-4.36,12.63,9.37,28.72,1.22,4.85,-15.87,3.46,24.19,1.82,1.96,1.5,19.14,1.75,15.59,1.16,-18.71,5.09,-2.02,1.25,-22.12,0.99,-32.65,0.28,-29.47,467.02,0.49,122.29,2.76,0.52,-39.11,1.82,19.74
Essendon,135.55,0.48,7.05,18.6,6.16,11.65,7.61,8.16,19.28,0.81,48.9,7.34,16.58,18.55,10.26,12.02,4.09,30.58,7.77,4.8,-16.74,3.58,28.5,2.27,27.17,1.44,14.38,1.44,-4.89,1.51,5.82,5.15,-0.87,2.25,40.19,1.76,19.73,0.56,41.06,520.38,11.97,119.72,0.6,1.18,38.17,1.82,19.74
Fremantle,117.99,-1.26,-6.81,16.2,-7.54,9.51,-12.16,6.33,-7.47,0.34,-37.5,5.99,-4.86,14.84,-11.79,10.66,-7.69,25.49,-10.16,6.88,19.34,2.51,-9.91,1.37,-23.25,1.08,-14.22,1.41,-6.87,1.7,19.13,5.07,-2.41,1.3,-19.0,1.26,-14.29,0.27,-31.99,399.34,-14.07,123.02,3.38,0.64,-25.06,1.23,-19.08
GWS GIANTS,126.62,-0.74,0.0,16.66,-4.91,11.5,6.23,6.51,-4.84,0.77,41.54,5.74,-8.83,16.66,-0.97,11.43,-1.02,28.1,-0.97,5.81,0.78,2.49,-10.62,1.99,11.48,1.44,14.38,1.62,7.0,1.44,0.91,5.35,2.98,1.7,5.92,1.73,17.69,0.1,-74.81,477.3,2.7,113.98,-4.22,0.93,8.9,1.63,7.24
Geelong Cats,129.73,-0.82,2.46,17.23,-1.66,10.79,-0.33,6.24,-8.79,0.44,-19.12,5.8,-7.88,16.97,0.87,11.28,-2.32,28.25,-0.44,6.85,18.82,2.42,-13.14,1.9,6.44,0.96,-23.75,1.32,-12.81,1.19,-16.61,4.8,-7.6,1.61,0.31,1.36,-7.48,0.49,23.43,476.84,2.6,115.08,-3.3,0.66,-22.72,1.07,-29.61
Gold Coast SUNS,132.33,-1.09,4.51,18.88,7.76,11.35,4.84,7.25,5.98,0.41,-24.63,6.86,8.96,18.23,8.36,11.34,-1.8,29.58,4.25,5.89,2.17,2.87,3.02,2.1,17.65,0.93,-26.13,1.71,12.95,1.95,36.65,5.69,9.53,1.41,-12.15,1.78,21.09,0.39,-1.76,499.79,7.54,130.21,9.42,1.24,45.2,1.32,-13.16
Hawthorn,117.09,-9.31,-7.53,15.2,-13.25,10.47,-3.29,6.05,-11.56,0.7,28.68,5.36,-14.87,15.38,-8.58,10.61,-8.12,25.99,-8.4,5.67,-1.65,2.39,-14.21,1.68,-5.88,0.92,-26.93,1.91,26.16,1.39,-2.59,4.75,-8.57,1.22,-23.99,1.18,-19.73,0.32,-19.4,414.48,-10.82,124.38,4.52,0.72,-15.69,1.35,-11.18
Melbourne,131.61,7.06,3.94,19.42,10.84,10.34,-4.49,8.32,21.62,0.65,19.49,7.67,21.82,18.18,8.06,11.78,2.01,29.95,5.55,4.97,-13.79,2.95,5.89,1.57,-12.04,1.39,10.41,0.94,-37.91,1.1,-22.92,5.87,12.99,1.82,13.4,1.5,2.04,0.32,-19.4,506.21,8.92,120.2,1.01,0.98,14.75,1.5,-1.32
North Melbourne,132.62,-7.88,4.74,18.77,7.13,10.88,0.5,7.6,11.09,0.57,4.78,7.03,11.66,16.97,0.87,12.39,7.29,29.36,3.48,5.39,-6.5,2.65,-4.88,2.32,29.97,1.38,9.61,1.64,8.32,1.51,5.82,5.39,3.75,2.42,50.78,0.93,-36.73,0.44,10.83,449.63,-3.25,120.21,1.02,1.16,35.83,2.11,38.82
Port Adelaide,122.16,2.08,-3.52,16.58,-5.37,10.32,-4.67,7.01,2.47,0.48,-11.76,6.52,3.56,16.28,-3.23,10.5,-9.08,26.78,-5.62,5.54,-3.9,2.2,-21.03,1.95,9.24,1.24,-1.51,1.67,10.3,1.91,33.85,5.09,-2.02,1.45,-9.66,1.38,-6.12,0.18,-54.66,441.17,-5.07,114.29,-3.96,0.78,-8.67,1.29,-15.13
Richmond,126.62,2.62,0.0,18.07,3.13,10.71,-1.07,7.5,9.63,0.68,25.0,6.82,8.32,17.66,4.97,11.19,-3.1,28.85,1.68,4.53,-21.42,2.57,-7.75,1.98,10.92,1.33,5.64,1.47,-2.91,1.42,-0.49,5.75,10.68,1.98,23.36,1.36,-7.48,0.4,0.76,502.19,8.06,118.75,-0.21,1.09,27.63,1.58,3.95
St Kilda,132.82,0.72,4.9,18.41,5.07,10.71,-1.07,8.2,19.87,0.75,37.87,7.45,18.33,19.19,14.06,10.5,-9.08,29.7,4.67,5.18,-10.15,2.92,4.81,1.6,-10.36,1.52,20.73,1.5,-0.92,1.35,-5.4,5.88,13.19,1.46,-9.03,1.83,24.49,0.42,5.79,511.75,10.11,122.27,2.75,0.9,5.39,1.98,30.26
Sydney Swans,128.98,1.35,1.86,18.3,4.45,10.61,-2.0,7.15,4.52,0.48,-11.76,6.66,5.78,17.69,5.15,11.35,-1.71,29.05,2.38,5.77,0.09,2.36,-15.29,1.59,-10.92,1.24,-1.51,1.61,6.34,1.31,-8.2,4.85,-6.64,1.77,10.28,1.57,6.8,0.23,-42.07,444.28,-4.4,123.81,4.04,0.75,-12.18,1.71,12.5
West Coast Eagles,125.43,-5.67,-0.94,17.74,1.25,9.92,-8.37,6.49,-5.13,0.47,-13.6,6.03,-4.22,16.38,-2.64,11.4,-1.28,27.78,-2.09,5.85,1.47,2.39,-14.21,1.84,3.08,1.35,7.23,1.15,-24.04,1.05,-26.42,4.25,-18.19,1.8,12.15,1.98,34.69,0.85,114.11,448.72,-3.45,121.4,2.02,1.11,29.98,1.08,-28.95
Western Bulldogs,113.97,-6.54,-9.99,15.88,-9.37,10.53,-2.73,5.82,-14.92,0.31,-43.01,5.51,-12.48,14.85,-11.73,11.49,-0.5,26.34,-7.17,5.49,-4.77,2.64,-5.24,1.34,-24.93,0.82,-34.87,1.08,-28.67,1.07,-25.02,4.64,-10.68,1.22,-23.99,1.68,14.29,0.52,30.98,417.21,-10.23,112.52,-5.45,0.61,-28.57,1.38,-9.21
League Average,126.619,0.0,0.0,17.521,0.0,10.826,0.0,6.841,0.0,0.544,0.0,6.296,0.0,16.824,0.0,11.548,0.0,28.374,0.0,5.765,0.0,2.786,0.0,1.785,0.0,1.259,0.0,1.514,0.0,1.427,0.0,5.195,0.0,1.605,0.0,1.47,0.0,0.397,0.0,464.743,0.0,119.002,0.0,0.854,0.0,1.52,0.0
