team.name,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints,uncontestedPossessions W Mean,uncontestedPossessions,contestedPossessions W Mean,contestedPossessions,marks W Mean,marks,contestedMarks W Mean,contestedMarks,uncontestedMarks W Mean,uncontestedMarks,kicks W Mean,kicks,handballs W Mean,handballs,disposals W Mean,disposals,tackles W Mean,tackles,clearances.totalClearances W Mean,clearances.totalClearances,goals W Mean,goals,behinds W Mean,behinds,freesFor W Mean,freesFor,freesAgainst W Mean,freesAgainst,inside50s W Mean,inside50s,marksInside50 W Mean,marksInside50,rebound50s W Mean,rebound50s,bounces W Mean,bounces,metresGained W Mean,metresGained,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency,extendedStats.marksOnLead W Mean,extendedStats.marksOnLead,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches
Adelaide Crows,147.0,7.44,16.09,20.39,16.37,14.52,34.13,6.93,1.3,0.42,-23.22,6.51,3.42,20.85,23.94,14.13,22.35,34.98,23.29,6.26,8.66,4.39,57.52,2.15,20.38,1.21,-3.89,2.04,34.74,1.95,36.75,6.54,25.87,1.41,-12.2,1.9,29.34,0.48,20.6,578.41,24.46,123.43,3.72,0.54,-36.77,1.8,18.58
Brisbane Lions,141.65,3.48,11.87,19.94,13.8,12.05,11.32,8.25,20.6,0.59,7.86,7.66,21.68,20.49,21.8,10.89,-5.71,31.39,10.64,5.44,-5.57,4.01,43.88,2.22,24.3,1.79,42.18,1.65,8.98,1.63,14.31,6.66,28.18,2.04,27.02,1.85,25.94,0.37,-7.04,574.82,23.69,110.15,-7.44,1.27,48.71,1.74,14.62
Carlton,108.94,-3.67,-13.96,14.4,-17.82,9.17,-15.29,5.54,-19.02,0.47,-14.08,5.07,-19.46,13.93,-17.2,9.7,-16.01,23.64,-16.68,5.19,-9.91,1.84,-33.98,1.86,4.14,1.09,-13.42,1.25,-17.44,1.09,-23.56,4.28,-17.63,1.23,-23.41,1.22,-16.95,0.16,-59.8,359.3,-22.69,113.21,-4.87,0.55,-35.6,1.42,-6.46
Collingwood,121.49,-0.89,-4.05,14.81,-15.48,9.18,-15.2,7.15,4.52,0.95,73.67,6.2,-1.51,15.72,-6.56,8.74,-24.32,24.46,-13.79,5.48,-4.88,1.62,-41.87,2.37,32.7,2.11,67.59,1.44,-4.89,1.62,13.6,4.57,-12.05,2.91,81.2,0.45,-69.37,0.54,35.68,402.28,-13.44,113.08,-4.98,1.15,34.66,1.31,-13.7
Essendon,129.39,-0.72,2.19,18.14,3.53,12.79,18.15,6.42,-6.15,0.56,2.38,5.88,-6.59,16.86,0.22,13.94,20.7,30.8,8.56,6.6,14.56,4.35,56.08,1.43,-19.93,0.92,-26.93,1.66,9.64,2.0,40.25,5.77,11.05,1.14,-29.02,1.58,7.56,0.62,55.78,486.17,4.61,121.45,2.06,0.96,12.41,1.76,15.94
Fremantle,103.24,-11.21,-18.47,13.57,-22.55,8.57,-20.83,6.0,-12.29,0.74,35.28,5.26,-16.44,11.85,-29.56,9.73,-15.75,21.57,-23.97,4.61,-19.98,1.74,-37.57,2.11,18.14,1.24,-1.51,1.15,-24.04,1.3,-8.84,3.46,-33.41,2.1,30.76,0.69,-53.03,0.36,-9.55,333.55,-28.23,126.52,6.32,0.74,-13.35,1.01,-33.47
GWS GIANTS,132.28,-7.03,4.47,17.81,1.64,11.12,2.73,5.71,-16.53,0.27,-50.64,5.43,-13.74,15.37,-8.64,13.3,15.16,28.67,1.05,8.37,45.29,3.31,18.77,1.66,-7.05,1.11,-11.83,1.66,9.64,1.29,-9.54,5.83,12.2,1.46,-9.09,0.74,-49.63,0.23,-42.21,456.7,-1.73,119.01,0.01,0.49,-42.62,1.34,-11.73
Geelong Cats,137.74,6.62,8.78,18.86,7.64,11.42,5.5,6.51,-4.84,0.58,6.03,5.93,-5.8,18.46,9.73,12.17,5.38,30.62,7.92,6.11,6.06,3.16,13.38,2.25,25.98,1.33,5.64,1.46,-3.57,0.98,-31.28,5.88,13.16,1.77,10.21,1.2,-18.31,0.41,3.02,495.12,6.54,111.28,-6.49,0.79,-7.49,1.95,28.46
Gold Coast SUNS,118.55,-6.49,-6.37,17.96,2.5,8.35,-22.86,7.87,15.04,0.5,-8.59,7.38,17.24,16.43,-2.34,10.31,-10.73,26.73,-5.79,4.45,-22.76,1.12,-59.81,1.34,-24.97,1.09,-13.42,1.15,-24.04,1.02,-28.47,5.08,-2.23,1.64,2.12,2.11,43.64,0.34,-14.57,489.32,5.29,126.71,6.48,1.11,29.98,1.22,-19.63
Hawthorn,130.64,-0.28,3.17,18.05,3.01,11.39,5.22,7.4,8.17,0.6,9.69,6.8,8.02,16.8,-0.14,12.55,8.67,29.35,3.45,5.67,-1.58,3.26,16.97,1.74,-2.58,1.35,7.23,2.03,34.08,1.53,7.29,4.9,-5.7,1.93,20.17,1.32,-10.14,0.38,-4.52,457.2,-1.62,126.8,6.55,0.98,14.75,1.49,-1.84
Melbourne,130.78,-2.48,3.28,18.06,3.07,11.43,5.59,6.28,-8.2,0.25,-54.3,6.03,-4.21,17.7,5.21,11.85,2.61,29.55,4.15,7.06,22.55,3.22,15.54,1.48,-17.13,1.12,-11.04,1.34,-11.49,1.5,5.19,5.34,2.77,1.2,-25.28,1.92,30.7,0.37,-7.04,483.18,3.97,112.69,-5.3,0.81,-5.15,1.77,16.6
North Melbourne,118.55,1.91,-6.37,19.57,11.69,9.4,-13.16,6.49,-5.13,0.29,-46.98,6.2,-1.51,16.87,0.28,12.91,11.78,29.77,4.93,4.53,-21.37,2.32,-16.76,1.06,-40.65,0.32,-74.58,1.45,-4.23,1.21,-15.15,4.15,-20.13,0.6,-62.64,2.94,100.14,0.37,-7.04,462.09,-0.57,130.96,10.05,0.66,-22.72,1.0,-34.12
Port Adelaide,131.59,5.34,3.92,17.15,-2.12,11.08,2.36,6.78,-0.89,0.6,9.69,6.18,-1.83,18.83,11.93,10.25,-11.25,29.07,2.46,6.18,7.27,3.37,20.92,1.94,8.62,1.76,39.79,1.66,9.64,1.93,35.34,6.3,21.25,1.76,9.59,1.36,-7.42,0.24,-39.7,498.47,7.26,110.76,-6.93,0.79,-7.49,1.84,21.21
Richmond,103.01,-10.52,-18.65,13.53,-22.78,8.44,-22.03,5.54,-19.02,0.49,-10.42,5.05,-19.78,14.06,-16.42,7.72,-33.15,21.79,-23.2,4.91,-14.77,1.09,-60.89,1.7,-4.82,1.31,4.05,1.08,-28.67,1.16,-18.65,5.25,1.04,1.43,-10.96,0.69,-53.03,0.69,73.37,417.64,-10.14,116.34,-2.24,0.78,-8.67,1.17,-22.92
St Kilda,125.83,-3.8,-0.62,16.24,-7.32,11.69,7.99,7.45,8.9,1.0,82.82,6.45,2.46,16.53,-1.74,11.43,-1.03,27.97,-1.42,5.21,-9.56,1.8,-35.41,1.77,-0.9,1.2,-4.69,2.17,43.33,1.47,3.09,4.4,-15.32,2.06,28.27,1.65,12.32,0.23,-42.21,453.98,-2.32,112.77,-5.24,0.8,-6.32,1.34,-11.73
Sydney Swans,141.51,0.04,11.76,19.66,12.2,13.08,20.83,7.89,15.33,0.64,17.0,7.25,15.17,18.46,9.73,14.45,25.12,32.91,15.99,6.24,8.31,3.94,41.37,1.59,-10.97,1.27,0.87,1.51,-0.26,1.35,-5.33,5.76,10.85,1.54,-4.11,1.72,17.09,0.21,-47.24,490.62,5.57,122.89,3.27,0.53,-37.94,1.67,10.01
West Coast Eagles,118.69,-1.42,-6.26,17.13,-2.24,9.5,-12.24,7.63,11.53,0.35,-36.01,7.27,15.49,15.38,-8.58,10.39,-10.04,25.77,-9.17,5.44,-5.57,2.46,-11.73,1.48,-17.13,1.55,23.11,0.96,-36.59,1.46,2.38,4.89,-5.89,1.23,-23.41,1.05,-28.52,0.58,45.73,438.7,-5.6,117.52,-1.25,1.27,48.71,1.4,-7.77
Western Bulldogs,138.29,-4.4,9.22,20.12,14.83,11.67,7.81,7.3,6.71,0.54,-1.28,6.76,7.39,18.23,8.36,13.43,16.29,31.66,11.59,5.95,3.28,3.16,13.38,2.0,11.98,0.89,-29.31,1.59,5.02,1.18,-17.25,4.47,-13.97,1.45,-9.71,2.06,40.23,0.59,48.24,487.82,4.97,126.46,6.27,1.15,34.66,2.1,38.34
League Average,126.621,0.0,0.0,17.522,0.0,10.825,0.0,6.841,0.0,0.547,0.0,6.295,0.0,16.823,0.0,11.549,0.0,28.372,0.0,5.761,0.0,2.787,0.0,1.786,0.0,1.259,0.0,1.514,0.0,1.426,0.0,5.196,0.0,1.606,0.0,1.469,0.0,0.398,0.0,464.743,0.0,119.002,0.0,0.854,0.0,1.518,0.0
