opponent,FP-,FP- Trend,M-,UM-,KR-,UP-,K-,D-,T-,bounces-,i50-,CM-,DE%-,R50-,MTR-,KE%-,ML-,IM-,SL-,KIN-,KIPO-
Adelaide Crows,-5.42,-0.85,-8.7,-8.76,3.24,-9.06,-3.99,-6.19,1.66,1.83,4.68,0.48,-2.66,-6.45,-1.24,-2.18,7.66,-2.89,1.57,0.17,-0.2
Brisbane Lions,-1.75,0.9,-6.71,-7.43,-1.25,-4.34,-2.49,-0.57,5.63,-3.98,-10.21,6.78,-0.63,10.96,-0.97,-1.07,3.46,1.19,-0.36,11.35,15.68
Carlton,-3.33,-0.66,-6.66,-7.17,-2.74,-3.08,-3.61,-1.83,-2.93,-8.63,5.28,-0.43,0.71,-2.69,-1.62,1.68,-15.89,-0.76,-1.33,3.17,1.31
Collingwood,1.2,1.45,-0.0,0.48,0.25,-1.11,2.19,1.58,5.14,-26.82,-10.81,-6.73,0.87,-0.91,-5.07,2.14,-15.89,-2.18,6.65,22.04,20.78
Essendon,0.77,-0.38,3.4,4.41,-1.25,3.59,-0.58,1.15,-3.43,-3.98,5.43,7.23,0.18,-4.25,0.75,0.34,-2.43,-0.76,0.85,-2.67,-4.55
Fremantle,-2.08,0.01,4.57,4.57,-1.25,-0.59,-3.35,-2.59,-6.28,-9.01,-13.97,-3.13,1.25,-2.69,-6.05,1.64,25.33,-5.02,-19.47,-8.85,-9.65
GWS GIANTS,-6.45,-0.49,-11.04,-9.93,0.25,-4.97,-4.6,-4.88,-8.52,-12.88,-1.64,-17.1,-0.45,1.01,1.21,-1.6,-13.36,1.73,-5.2,-2.34,0.18
Geelong Cats,-0.56,0.2,-1.8,-1.12,0.25,-0.66,0.96,0.19,-5.41,-7.85,-1.19,-10.34,-2.28,2.79,0.44,-2.69,-4.11,0.66,-4.23,2.5,3.96
Gold Coast SUNS,2.25,-0.22,-0.58,-2.18,0.25,2.5,2.04,2.7,4.77,15.38,0.47,15.34,1.55,6.63,6.79,1.3,22.8,6.87,5.68,-3.51,-3.98
Hawthorn,4.71,0.86,8.41,7.86,1.75,4.96,4.46,2.62,11.34,8.41,2.42,12.19,1.27,0.73,2.58,2.13,-4.11,0.31,-7.86,-0.67,-0.2
Melbourne,6.22,-0.55,9.19,10.04,1.75,4.81,5.95,4.37,5.63,-2.43,-5.4,-5.83,0.81,4.85,1.97,0.49,-4.11,3.15,-11.73,-10.02,-7.95
North Melbourne,-0.32,-0.3,-2.28,-2.97,-4.24,0.11,-4.32,-1.45,6.01,17.7,16.26,4.53,1.34,-13.21,-4.26,0.36,-2.43,4.74,33.01,-23.04,-26.28
Port Adelaide,-6.63,0.92,-16.53,-17.47,1.75,-11.97,-3.22,-4.85,-1.57,13.06,-8.41,-8.99,-4.52,10.32,4.44,-4.98,6.82,-8.93,-5.2,16.36,21.16
Richmond,4.1,0.52,6.22,6.59,0.25,5.75,5.14,4.93,-6.53,9.18,4.68,5.88,0.3,-1.62,4.2,-0.36,-4.95,5.45,13.42,2.17,-3.79
St Kilda,8.49,0.35,17.65,18.16,1.75,12.26,9.1,7.49,-2.31,-4.37,10.09,-2.68,0.72,-1.33,4.49,1.14,6.82,5.1,-3.26,-5.34,-9.27
Sydney Swans,-2.27,0.67,-1.07,-1.01,1.75,-2.51,-0.62,-1.77,-5.91,-22.95,0.77,-2.68,-1.36,4.78,-4.95,-2.46,-10.84,-3.96,-11.97,13.36,17.76
West Coast Eagles,-2.1,0.52,-1.8,-1.81,-2.74,3.22,-5.62,-2.5,-2.43,37.84,14.91,-2.23,3.43,-15.91,-2.23,3.99,21.12,-5.2,12.45,-20.37,-20.42
Western Bulldogs,3.17,-1.15,7.73,7.75,0.25,1.1,2.55,1.62,5.14,-0.49,-13.37,7.68,-0.53,6.98,-0.5,0.11,-15.89,0.48,-3.02,5.68,5.47
