"compSeason.name","round.name","home.team.name","away.team.name","venue.name"
"2025 Toyota AFL Premiership","Opening Round","Brisbane Lions","Geelong Cats","Gabba"
"2025 Toyota AFL Premiership","Opening Round","Sydney Swans","Hawthorn","SCG"
"2025 Toyota AFL Premiership","Opening Round","Gold Coast SUNS","Essendon","People First Stadium"
"2025 Toyota AFL Premiership","Opening Round","GWS GIANTS","Collingwood","ENGIE Stadium"
"2025 Toyota AFL Premiership","Round 1","Richmond","Carlton","MCG"
"2025 Toyota AFL Premiership","Round 1","Hawthorn","Essendon","MCG"
"2025 Toyota AFL Premiership","Round 1","Geelong Cats","Fremantle","GMHBA Stadium"
"2025 Toyota AFL Premiership","Round 1","Sydney Swans","Brisbane Lions","SCG"
"2025 Toyota AFL Premiership","Round 1","Western Bulldogs","North Melbourne","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 1","Collingwood","Port Adelaide","MCG"
"2025 Toyota AFL Premiership","Round 1","Adelaide Crows","St Kilda","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 1","Melbourne","GWS GIANTS","MCG"
"2025 Toyota AFL Premiership","Round 1","West Coast Eagles","Gold Coast SUNS","Optus Stadium"
"2025 Toyota AFL Premiership","Round 2","Carlton","Hawthorn","MCG"
"2025 Toyota AFL Premiership","Round 2","Western Bulldogs","Collingwood","MCG"
"2025 Toyota AFL Premiership","Round 2","Essendon","Adelaide Crows","MCG"
"2025 Toyota AFL Premiership","Round 2","Port Adelaide","Richmond","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 2","St Kilda","Geelong Cats","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 2","Brisbane Lions","West Coast Eagles","Gabba"
"2025 Toyota AFL Premiership","Round 2","North Melbourne","Melbourne","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 2","Fremantle","Sydney Swans","Optus Stadium"
"2025 Toyota AFL Premiership","Round 3","Essendon","Port Adelaide","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 3","Carlton","Western Bulldogs","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 3","Melbourne","Gold Coast SUNS","MCG"
"2025 Toyota AFL Premiership","Round 3","St Kilda","Richmond","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 3","Hawthorn","GWS GIANTS","University of Tasmania Stadium"
"2025 Toyota AFL Premiership","Round 3","Adelaide Crows","North Melbourne","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 3","West Coast Eagles","Fremantle","Optus Stadium"
"2025 Toyota AFL Premiership","Round 4","Collingwood","Carlton","MCG"
"2025 Toyota AFL Premiership","Round 4","Geelong Cats","Melbourne","GMHBA Stadium"
"2025 Toyota AFL Premiership","Round 4","Gold Coast SUNS","Adelaide Crows","People First Stadium"
"2025 Toyota AFL Premiership","Round 4","Richmond","Brisbane Lions","MCG"
"2025 Toyota AFL Premiership","Round 4","North Melbourne","Sydney Swans","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 4","GWS GIANTS","West Coast Eagles","ENGIE Stadium"
"2025 Toyota AFL Premiership","Round 4","Port Adelaide","St Kilda","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 4","Fremantle","Western Bulldogs","Optus Stadium"
"2025 Toyota AFL Premiership","Round 5","Adelaide Crows","Geelong Cats","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 5","Collingwood","Sydney Swans","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 5","North Melbourne","Gold Coast SUNS","Barossa Park"
"2025 Toyota AFL Premiership","Round 5","Carlton","West Coast Eagles","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 5","Western Bulldogs","Brisbane Lions","Norwood Oval"
"2025 Toyota AFL Premiership","Round 5","Melbourne","Essendon","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 5","Richmond","Fremantle","Barossa Park"
"2025 Toyota AFL Premiership","Round 5","St Kilda","GWS GIANTS","Norwood Oval"
"2025 Toyota AFL Premiership","Round 5","Port Adelaide","Hawthorn","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 6","Brisbane Lions","Collingwood","Gabba"
"2025 Toyota AFL Premiership","Round 6","North Melbourne","Carlton","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 6","West Coast Eagles","Essendon","Optus Stadium"
"2025 Toyota AFL Premiership","Round 6","Melbourne","Fremantle","MCG"
"2025 Toyota AFL Premiership","Round 6","Adelaide Crows","GWS GIANTS","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 6","Richmond","Gold Coast SUNS","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 6","Sydney Swans","Port Adelaide","SCG"
"2025 Toyota AFL Premiership","Round 6","Western Bulldogs","St Kilda","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 6","Geelong Cats","Hawthorn","MCG"
