opponent,FP-,FP- Trend,M-,UM-,KR-,UP-,CP-,G-,K-,H-,D-,T-,i50-,Mi50-,CLR-,DE%-,R50-,GA-,Ti50-,MTR-,GBG-,SL-,extendedStats.centreBounceAttendances-
Adelaide Crows,0.07,-0.4,-13.09,-14.13,1.63,-6.81,6.3,-8.04,-0.13,-1.71,-0.89,13.42,3.44,-9.51,9.5,-2.72,-7.35,-3.13,0.17,2.71,6.98,-0.81,3.0
Brisbane Lions,-2.5,-1.1,0.74,2.26,-2.28,1.7,-4.91,-13.41,-3.97,-0.26,-2.16,3.58,-8.09,-10.12,-4.81,-2.16,1.05,-7.47,9.57,-4.13,-4.31,-8.99,3.9
Carlton,-2.94,0.31,-3.18,-3.43,1.63,-3.94,-4.22,-1.05,-1.2,-7.13,-4.12,0.98,-2.07,4.04,-5.96,-1.12,5.36,-13.25,12.25,1.05,-4.6,-14.84,-3.77
Collingwood,3.58,-1.32,3.45,3.34,-0.33,5.7,4.45,-2.66,5.45,5.81,5.62,-1.33,0.72,-16.28,2.38,-0.51,1.7,-8.43,-10.56,2.47,7.46,-1.27,1.61
Essendon,-3.59,-0.07,11.58,10.99,3.58,-1.27,-3.29,3.26,0.51,-5.19,-2.29,-18.48,-2.32,-2.74,-5.46,1.44,10.32,2.65,-10.11,0.29,-1.07,14.63,-3.05
Fremantle,-2.49,-0.37,-0.29,-0.0,1.63,-2.94,-3.06,2.72,-1.67,-3.59,-2.62,-4.16,-8.93,-4.58,-4.38,-0.44,-1.75,3.13,1.96,-5.61,-1.26,-2.44,-4.59
GWS GIANTS,-1.08,-0.72,-7.11,-6.87,-2.28,0.55,3.39,-3.2,-0.3,3.63,1.63,-7.12,6.91,-14.43,3.17,0.21,3.21,-10.36,1.96,3.44,3.36,5.98,2.29
Geelong Cats,3.25,1.12,-3.37,-3.53,1.63,1.83,0.18,-4.81,2.53,1.34,1.93,13.06,-5.04,-0.89,6.19,-1.96,13.77,-8.43,9.57,1.59,-3.74,0.36,6.25
Gold Coast SUNS,-1.36,-0.34,-0.57,1.28,-0.33,0.05,-4.65,-4.27,-0.83,-2.2,-1.49,1.41,2.16,-1.5,-3.95,0.66,2.56,-10.36,4.65,3.33,-2.26,1.77,-1.72
Hawthorn,-2.24,-1.68,-1.13,-0.69,-0.33,-4.82,-5.61,-3.2,-5.66,-4.9,-5.28,4.38,-6.39,8.96,-6.46,1.85,-10.15,14.22,-7.43,-7.01,-10.41,-11.8,-1.92
Melbourne,5.62,-0.15,12.98,12.46,3.58,7.77,2.56,4.87,8.43,4.79,6.65,-5.46,7.08,12.65,2.02,1.56,13.77,-8.92,10.46,6.81,7.22,-9.46,-4.41
North Melbourne,3.73,-1.46,9.06,8.24,1.63,3.67,-0.64,18.85,3.8,-0.92,1.47,2.14,9.28,24.35,2.24,1.37,-6.27,17.59,14.48,4.68,-0.55,21.65,2.48
Port Adelaide,-6.78,-0.54,-23.56,-23.65,-4.23,-7.91,-0.84,-9.11,-8.97,-1.33,-5.2,2.21,-7.92,-3.35,-4.88,-2.63,3.85,-5.54,-8.77,-6.8,-1.45,-6.89,-2.79
Richmond,5.65,0.92,15.51,17.76,-0.33,8.89,2.0,13.47,5.17,6.15,5.65,-4.44,13.01,10.19,3.39,1.68,3.85,13.25,-1.61,5.9,5.27,16.04,4.66
St Kilda,-3.15,-0.37,-3.65,-5.59,-2.28,-3.77,-3.13,5.41,-4.59,-1.68,-3.15,-3.0,-11.64,-2.74,-3.59,3.54,-10.58,-10.36,-7.88,-8.68,-4.79,-17.65,-6.64
Sydney Swans,-1.16,0.07,-3.46,-2.85,1.63,-3.57,2.1,-19.87,0.4,-3.33,-1.43,0.55,3.44,-3.35,-2.65,-1.33,-2.82,5.06,-8.32,-2.92,2.98,-5.72,0.21
West Coast Eagles,7.59,0.21,8.41,7.95,-4.23,8.14,6.4,15.09,3.04,10.48,6.68,6.04,14.36,13.27,12.3,2.99,-18.98,28.67,1.07,4.3,1.02,28.91,4.4
Western Bulldogs,-2.2,-0.13,-2.34,-3.53,-0.33,-3.29,2.96,5.95,-2.01,0.03,-1.01,-3.79,-8.0,-3.97,0.94,-2.45,-1.53,1.69,-11.45,-1.42,0.17,-9.46,0.09
