opponent,FP-,FP- Trend,M-,UM-,KR-,GR-,K-,D-,T-,CP-,UP-,CLR-
Adelaide Crows,-1.9,-0.33,-10.87,-12.36,0.28,0.19,-1.83,-2.23,8.89,4.56,-7.49,8.93
Brisbane Lions,-3.32,-0.0,-6.79,-7.11,-1.39,0.19,-4.89,-2.97,2.32,-3.83,-3.09,-1.72
Carlton,-2.39,0.24,-4.89,-5.72,0.28,0.19,-3.09,-2.64,3.85,-1.95,-3.56,-1.77
Collingwood,0.04,0.08,2.63,3.56,-1.39,-3.21,1.36,2.07,-6.45,0.06,2.77,1.82
Essendon,-1.13,-0.06,5.52,6.01,1.95,5.28,1.18,0.34,-14.78,-2.73,2.19,-4.5
Fremantle,-2.03,0.19,1.02,0.86,0.28,-1.51,-1.86,-2.47,-0.48,-2.45,-1.84,-5.32
GWS GIANTS,-3.16,-0.47,-8.66,-8.46,-1.39,-4.91,-2.34,-0.85,-6.47,2.47,-2.78,3.82
Geelong Cats,1.52,0.49,1.25,2.13,0.28,3.58,0.99,0.71,5.12,-0.1,0.87,4.77
Gold Coast SUNS,0.71,-0.06,-0.64,-0.54,0.28,1.89,1.36,0.97,2.82,0.91,0.95,0.61
Hawthorn,2.24,-0.59,5.05,5.11,0.28,1.89,0.74,-0.47,8.77,-2.18,0.43,-3.18
Melbourne,2.56,-0.22,5.98,7.21,1.95,-3.21,4.63,3.23,0.4,1.28,4.18,1.79
North Melbourne,4.5,-0.56,5.97,5.86,0.28,1.89,1.9,2.3,4.12,1.45,4.99,0.88
Port Adelaide,-6.04,0.05,-14.54,-16.33,-1.39,-1.51,-5.38,-4.17,-3.27,1.61,-8.84,-3.37
Richmond,3.42,1.09,7.95,8.53,0.28,1.89,4.51,3.82,-7.02,0.02,6.41,-1.02
St Kilda,2.18,0.26,9.09,9.63,0.28,-4.91,2.53,1.82,-0.5,-1.64,4.81,-5.37
Sydney Swans,-3.26,0.19,-6.74,-6.88,0.28,-3.21,-1.85,-1.98,-2.07,2.18,-4.39,0.28
West Coast Eagles,5.37,0.16,4.93,4.39,-3.06,5.28,1.61,3.54,2.69,1.29,5.62,7.58
Western Bulldogs,0.69,-0.31,3.73,4.12,1.95,0.19,0.42,-1.03,2.05,-0.94,-1.21,-4.23
