team.name,FP+,FP+ Trend,M+,UM+,KR+,GR+,K+,D+,T+,CP+,UP+,CLR+
Adelaide Crows,0.38,0.45,-7.62,-9.09,-1.12,1.98,-1.15,0.09,9.68,4.91,-3.37,5.56
Brisbane Lions,2.01,0.41,12.62,12.89,8.94,-1.42,6.54,-1.73,-8.55,1.69,-3.17,10.46
Carlton,3.01,-0.14,2.28,0.9,0.56,0.28,3.56,3.46,2.59,5.38,3.27,5.02
Collingwood,-1.32,-0.06,-8.23,-9.21,-1.12,3.68,-2.77,-1.71,5.84,-1.38,-3.77,-1.59
Essendon,2.95,0.67,8.12,9.65,-1.12,-1.42,1.99,4.03,-5.53,-3.84,8.64,-6.54
Fremantle,1.94,-0.23,1.77,2.86,-4.47,-1.42,-1.8,3.29,-0.22,-2.05,7.54,4.34
GWS GIANTS,2.53,0.12,-1.58,-2.01,-4.47,3.68,-0.37,4.37,5.56,1.9,5.15,-1.88
Geelong Cats,0.59,-0.33,-0.32,-0.94,0.56,3.68,0.44,-1.24,3.11,0.4,-3.69,1.93
Gold Coast SUNS,-3.65,0.29,-5.81,-6.24,3.91,0.28,-1.1,-5.23,-1.67,2.0,-9.58,2.04
Hawthorn,0.11,0.29,0.09,1.58,-4.47,-1.42,-1.99,1.97,-2.84,-1.46,5.23,-5.0
Melbourne,-0.65,-0.17,-2.97,-3.94,0.56,0.28,-0.22,0.0,-2.14,4.12,-1.85,-2.32
North Melbourne,-4.43,0.56,-5.2,-5.14,-2.79,8.78,-5.02,-2.63,-3.12,-3.88,-2.17,-1.18
Port Adelaide,0.18,-0.11,0.96,0.78,2.23,-8.22,1.98,-1.44,4.52,-0.4,-2.86,2.83
Richmond,-5.42,-0.56,-6.22,-6.77,0.56,-3.12,-3.1,-3.22,-11.25,-3.28,-3.82,-7.73
St Kilda,5.07,-0.07,13.31,14.83,2.23,0.28,7.08,4.61,1.14,0.67,7.0,-7.87
Sydney Swans,1.19,0.01,-0.42,0.38,2.23,-1.42,2.48,-0.36,4.46,1.12,-1.55,-1.31
West Coast Eagles,-7.5,-0.69,-2.76,-2.09,0.56,-1.42,-7.86,-8.15,-2.84,-9.07,-7.62,-6.24
Western Bulldogs,3.03,0.14,1.97,1.58,-2.79,-3.12,1.34,3.91,1.25,3.15,6.62,9.46
